question |Questions |Question |questions |question,2014100223,8580,15,0.0017482517482517483
question |Questions |Question |questions |question,2014100718,9824,39,0.003969869706840391
question |Questions |Question |questions |question,2014100802,4582,2,4.3649061545176777E-4
question |Questions |Question |questions |question,2014100719,8904,27,0.003032345013477089
question |Questions |Question |questions |question,2014100803,4750,1,2.105263157894737E-4
question |Questions |Question |questions |question,2014100712,10146,17,0.0016755371575004928
question |Questions |Question |questions |question,2014100804,8238,2,2.4277737314882253E-4
question |Questions |Question |questions |question,2014100610,8565,11,0.0012842965557501459
question |Questions |Question |questions |question,2014100713,7382,14,0.001896505012191818
question |Questions |Question |questions |question,2014100805,6904,2,2.8968713789107763E-4
question |Questions |Question |questions |question,2014100611,8676,4,4.610419548178884E-4
question |Questions |Question |questions |question,2014100714,9294,13,0.001398751882935227
question |Questions |Question |questions |question,2014100806,7696,4,5.197505197505198E-4
question |Questions |Question |questions |question,2014100612,7761,11,0.0014173431258858395
question |Questions |Question |questions |question,2014100715,8494,24,0.0028255238992229807
question |Questions |Question |questions |question,2014100807,6298,4,6.351222610352493E-4
question |Questions |Question |questions |question,2014100519,13547,21,0.001550158706724736
question |Questions |Question |questions |question,2014100809,5933,16,0.0026967807180178663
question |Questions |Question |questions |question,2014100518,12589,7,5.560409881642704E-4
question |Questions |Question |questions |question,2014100808,7916,4,5.053057099545225E-4
question |Questions |Question |questions |question,2014100410,8297,16,0.0019284078582620225
question |Questions |Question |questions |question,2014100412,8252,12,0.001454192922927775
question |Questions |Question |questions |question,2014100515,6526,5,7.661661048115232E-4
question |Questions |Question |questions |question,2014100411,8736,15,0.001717032967032967
question |Questions |Question |questions |question,2014100514,7337,12,0.0016355458634319203
question |Questions |Question |questions |question,2014100414,8029,17,0.0021173246979698593
question |Questions |Question |questions |question,2014100517,16635,10,6.011421701232341E-4
question |Questions |Question |questions |question,2014100413,7649,15,0.0019610406589096615
question |Questions |Question |questions |question,2014100516,7164,14,0.001954215522054718
question |Questions |Question |questions |question,2014100416,8535,10,0.0011716461628588166
question |Questions |Question |questions |question,2014100511,8203,13,0.001584786053882726
question |Questions |Question |questions |question,2014100415,9288,9,9.689922480620155E-4
question |Questions |Question |questions |question,2014100510,7389,25,0.003383407768304236
question |Questions |Question |questions |question,2014100418,8794,12,0.001364566750056857
question |Questions |Question |questions |question,2014100513,8653,16,0.0018490696868138218
question |Questions |Question |questions |question,2014100417,9001,18,0.0019997778024663927
question |Questions |Question |questions |question,2014100512,7658,11,0.0014364063724209976
question |Questions |Question |questions |question,2014100908,14247,17,0.001193233663227346
question |Questions |Question |questions |question,2014100907,7751,5,6.450780544445878E-4
question |Questions |Question |questions |question,2014100419,8630,14,0.0016222479721900347
question |Questions |Question |questions |question,2014100909,1000,1,0.001
question |Questions |Question |questions |question,2014100721,11447,28,0.0024460557351271076
question |Questions |Question |questions |question,2014100722,8294,25,0.0030142271521581866
question |Questions |Question |questions |question,2014100720,10198,46,0.00451068837026868
question |Questions |Question |questions |question,2014100723,5300,16,0.0030188679245283017
question |Questions |Question |questions |question,2014100520,14801,69,0.004661847172488345
question |Questions |Question |questions |question,2014100523,12605,22,0.0017453391511305038
question |Questions |Question |questions |question,2014100522,10915,19,0.0017407237746220798
question |Questions |Question |questions |question,2014100521,14363,54,0.003759660238111815
question |Questions |Question |questions |question,2014100623,8800,9,0.0010227272727272728
question |Questions |Question |questions |question,2014100622,9000,37,0.004111111111111111
question |Questions |Question |questions |question,2014100621,9007,29,0.0032197179971133563
question |Questions |Question |questions |question,2014100620,8998,25,0.002778395198933096
question |Questions |Question |questions |question,2014093011,9741,13,0.0013345652397084489
question |Questions |Question |questions |question,2014093012,11191,13,0.0011616477526583862
question |Questions |Question |questions |question,2014093013,5267,177,0.0336054680083539
question |Questions |Question |questions |question,2014093017,3899,34,0.008720184662734035
question |Questions |Question |questions |question,2014093018,99,0,0.0
question |Questions |Question |questions |question,2014093019,8564,31,0.003619803829985988
